simplified,traditional,pinyin_1,pinyin_2,english,hsk_level
厨房,廚房,chu2fang2,chúfáng,kitchen,4
专业,專業,zhuan1ye4,zhuānyè,profession; specialized field of study; major,4
吸引,吸引,xi1yin3,xīyǐn,"attract (interest, investment, etc.)",4
心情,心情,xin1qing2,xīnqíng,mood; state of mind,4
祝贺,祝賀,zhu4he4,zhùhè,congratulate,4
条件,條件,tiao2jian4,tiáojiàn,condition; circumstances; prerequisite,4
千万,千萬,qian1wan4,qiānwàn,ten million; be sure to; must,4
糖,糖,tang2,táng,sugar; candy; sweets,4
趟,趟,"tang4, tang1","tàng, tāng",(mw for trips times) | to wade,4
由于,由於,you2yu2,yóuyú,due to; owing to; as a result of; thanks to,4
密码,密碼,mi4ma3,mìmǎ,password; secret code,4
倍,倍,bei4,bèi,"(two, three, etc)-fold; times (multiplier)",4
擦,擦,ca1,cā,to wipe; to rub; to polish,4
尤其,尤其,you2qi2,yóuqí,especially; particularly,4
经验,經驗,jing1yan4,jīngyàn,experience,4
盒子,盒子,he2zi5,hézi,box,4
干杯,干杯,gan1 bei1,gān bēi,to drink a toast; cheers!; bottoms up!,4
看法,看法,kan4fa3,kànfǎ,point of view; opinion,4
脏,臟,"zang1, zang4","zāng, zàng",filthy; dirty | internal organs; viscera,4
艺术,藝術,yi4shu4,yìshù,art,4
速度,速度,su4du4,sùdù,speed; rate; velocity,4
勇敢,勇敢,yong3gan3,yǒnggǎn,brave; courageous,4
数字,數字,shu4zi4,shùzì,number; numeral; figure; digit,4
暂时,暫時,zan4shi2,zànshí,temporary; transient; for the moment,4
优秀,優秀,you1xiu4,yōuxiù,outstanding; excellent,4
笑话,笑話,xiao4hua5,xiàohua,joke; laugh at,4
可惜,可惜,ke3xi1,kěxī,it's a pity; regrettable; too bad,4
响,響,xiang3,xiǎng,make a sound; to ring; echo,4
省,省,"sheng3, xing3","shěng, xǐng",to save; economize; omit; province | examine oneself; to visit; be aware,4
笨,笨,ben4,bèn,stupid; foolish; silly; dumb; clumsy,4
科学,科學,ke1xue2,kēxué,science; scientific knowledge,4
餐厅,餐廳,can1ting1,cāntīng,dining hall; cafeteria; restaurant,4
各,各,ge4,gè,each; every,4
距离,距離,ju4li2,jùlí,distance; be apart; away from,4
窗户,窗戶,chuang1hu5,chuānghu,window,4
空气,空氣,kong1qi4,kōngqì,air,4
护士,護士,hu4shi5,hùshi,nurse,4
后悔,后悔,hou4hui3,hòuhuǐ,to regret; repent,4
大约,大約,da4yue1,dàyuē,approximately; about,4
内容,內容,nei4rong2,nèiróng,content; substance; details,4
规定,規定,gui1ding4,guīdìng,regulation; stipulate; fix; set,4
效果,效果,xiao4guo3,xiàoguǒ,effect; result,4
现金,現金,xian4jin1,xiànjīn,cash,4
儿童,兒童,er2tong2,értóng,child; children,4
租,租,zu1,zū,to rent,4
篇,篇,pian1,piān,sheet; (mw for articles); piece of writing,4
浪漫,浪漫,lang4man4,làngmàn,romantic,4
态度,態度,tai4du5,tàidu,manner; bearing; attitude,4
自信,自信,zi4xin4,zìxìn,self-confidence,4
吃惊,吃驚,chi1 jing1,chī jīng,be startled; be shocked; be amazed,4
熟悉,熟悉,shu2xi1,shúxī,familiar with; know well,4
按照,按照,an4zhao4,ànzhào,according to; in accordance with; in light of,4
世纪,世紀,shi4ji4,shìjì,century,4
回忆,回憶,hui2yi4,huíyì,to recall; recollect,4
相同,相同,xiang1tong2,xiāngtóng,identical; same; alike,4
重点,重點,zhong4dian3,zhòngdiǎn,emphasis; main point,4
教育,教育,jiao4yu4,jiàoyù,education,4
受不了,受不了,shou4 bu5 liao3,shòu bu liǎo,cannot endure; unbearable; can't stand,4
皮肤,皮膚,pi2fu1,pífū,skin,4
区别,區別,qu1bie2,qūbié,difference; distinguish,4
左右,左右,zuo3you4,zuǒyòu,about; approximate; around | left and right,4
阳光,陽光,yang2guang1,yángguāng,sunshine; sunlight,4
页,頁,ye4,yè,page; leaf (Kangxi radical 181),4
文章,文章,wen2zhang1,wénzhāng,article; essay,4
语言,語言,yu3yan2,yǔyán,language,4
标准,標准,biao1zhun3,biāozhǔn,(an official) standard; norm; criterion,4
管理,管理,guan3li3,guǎnlǐ,supervise; manage,4
误会,誤會,wu4hui4,wùhuì,to misunderstand; to mistake,4
桥,橋,qiao2,qiáo,bridge,4
举行,舉行,ju3xing2,jǔxíng,"convene; to hold (a meeting, ceremony, etc.)",4
肚子,肚子,du4zi5,dùzi,belly; abdomen; stomach,4
不仅,不僅,bu4jin3,bùjǐn,not only; not just,4
饼干,餅干,bing3gan1,bǐnggān,biscuit; cracker; cookie,4
国际,國際,guo2ji4,guójì,international,4
信心,信心,xin4xin1,xìnxīn,confidence; faith (in sb. or sth.),4
抬,抬,tai2,tái,to lift; to raise (with both palms up); carry (together),4
竞争,競爭,jing4zheng1,jìngzhēng,compete,4
汤,湯,tang1,tāng,soup; broth,4
作家,作家,zuo4jia1,zuòjiā,author; writer,4
诚实,誠實,cheng2shi2,chéngshí,honest; honorable,4
顾客,顧客,gu4ke4,gùkè,customer; client,4
存,存,cun2,cún,exist; to deposit; to store,4
香,香,xiang1,xiāng,fragrant; savory (Kangxi radical 186),4
打扮,打扮,da3ban5,dǎban,dress up; put on make up,4
交流,交流,jiao1liu2,jiāoliú,communicate; exchange; give and take; interaction; to alternate,4
年龄,年齡,nian2ling2,niánlíng,(a person's) age,4
小说,小說,xiao3shuo1,xiǎoshuō,novel; fiction,4
符合,符合,fu2he2,fúhé,in keeping with; in accordance with; conform,4
交通,交通,jiao1tong1,jiāotōng,traffic; transportation,4
共同,共同,gong4tong2,gòngtóng,together; common; joint,4
稍微,稍微,shao1wei1,shāowēi,a little bit; slightly,4
增加,增加,zeng1jia1,zēngjiā,to increase; to raise; add,4
敲,敲,qiao1,qiāo,knock; blackmail,4
适应,適應,shi4ying4,shìyìng,to suit; to fit; adapt,4
苦,苦,ku3,kǔ,bitter; miserable,4
辛苦,辛苦,xin1ku3,xīnkǔ,hard; exhausting; toilsome; laborious,4
然而,然而,ran2'er2,rán'ér,however; yet; but,4
耐心,耐心,nai4xin1,nàixīn,to be patient,4
将来,將來,jiang1lai2,jiānglái,the future,4
沙发,沙發,sha1fa1,shāfā,sofa,4
最好,最好,zui4hao3,zuìhǎo,the best; had better ...; it would be best,4
禁止,禁止,jin4zhi3,jìnzhǐ,to ban; prohibit,4
经济,經濟,jing1ji4,jīngjì,economy; economic,4
座位,座位,zuo4wei4,zuòwèi,seat; place,4
购物,購物,gou4wu4,gòuwù,go shopping; buy goods,4
抽烟,抽煙,chou1yan1,chōuyān,"to smoke (a cigarette, pipe, etc.)",4
航班,航班,hang2ban1,hángbān,scheduled flight; flight number,4
礼貌,禮貌,li3mao4,lǐmào,courtesy; politeness; manners,4
提前,提前,ti2qian2,tíqián,shift to an earlier date; bring forward; to advance,4
判断,判斷,pan4duan4,pànduàn,to judge; judgment; to decide,4
胳膊,胳膊,ge1bo5,gēbo,arm,4
整理,整理,zheng3li3,zhěnglǐ,put in order; arrange; straighten up; to tidy; to pack (luggage),4
森林,森林,sen1lin2,sēnlín,forest,4
同情,同情,tong2qing2,tóngqíng,compassion; sympathy,4
网站,網站,wang3zhan4,wǎngzhàn,website,4
商量,商量,shang1liang5,shāngliang,consult; talk over; discuss,4
眼镜,眼鏡,yan3jing4,yǎnjìng,glasses; spectacles,4
镜子,鏡子,jing4zi5,jìngzi,mirror,4
广播,廣播,guang3bo1,guǎngbō,broadcast; on the air,4
专门,專門,zhuan1men2,zhuānmén,specialized,4
弹钢琴,彈鋼琴,tan2 gang1qin2,tán gāngqín,play the piano,4
尝,嘗,chang2,cháng,to taste; flavor; (past tense marker),4
流行,流行,liu2xing2,liúxíng,spread; prevalent; be popular,4
材料,材料,cai2liao4,cáiliào,material,4
对话,對話,dui4hua4,duìhuà,dialogue; conversation,4
详细,詳細,xiang2xi4,xiángxì,detailed; in detail; minute,4
随着,隨著,sui2zhe5,suízhe,along with; in the wake of,4
降落,降落,jiang4luo4,jiàngluò,descend; to land; put down,4
功夫,功夫,gong1fu5,gōngfu,kung fu; skill; art; labor,4
严格,嚴格,yan2ge2,yángé,strict; stringent; tight,4
日记,日記,ri4ji4,rìjì,diary,4
偶尔,偶爾,ou3'er3,ǒu'ěr,occasionally; once in a while; sometimes,4
实际,實際,shi2ji4,shíjì,actual; reality; practice,4
友好,友好,you3hao3,yǒuhǎo,friendly (relations); close friends,4
相反,相反,xiang1fan3,xiāngfǎn,opposite; contrary,4
大夫,大夫,dai4fu5,dàifu,doctor; physician,4
友谊,友誼,you3yi4,yǒuyì,friendship; companionship,4
准确,准確,zhun3que4,zhǔnquè,accurate; precise,4
平时,平時,ping2shi2,píngshí,ordinarily; in normal times; in peacetime,4
对面,對面,dui4mian4,duìmiàn,opposite; across from; the other side,4
脾气,脾氣,pi2qi5,píqi,temperament; disposition; temper,4
价格,價格,jia4ge2,jiàgé,price,4
性格,性格,xing4ge2,xìnggé,nature; personality; temperament,4
鼓励,鼓勵,gu3li4,gǔlì,encourage; inspire,4
及时,及時,ji2shi2,jíshí,timely; in time; promptly; without delay,4
迷路,迷路,mi2lu4,mílù,to get lost,4
棵,棵,ke1,kē,(mw for plants),4
理想,理想,li3xiang3,lǐxiǎng,ideal,4
工资,工資,gong1zi1,gōngzī,wages; pay; earnings; salary,4
散步,散步,san4 bu4,sàn bù,to go for a walk,4
只好,隻好,zhi3hao3,zhǐhǎo,have to; be forced to,4
感动,感動,gan3dong4,gǎndòng,be moved; to touch emotionally,4
知识,知識,zhi1shi5,zhīshi,knowledge; intellectual,4
难受,難受,nan2shou4,nánshòu,feel unwell; to suffer pain,4
奖金,獎金,jiang3jin1,jiǎngjīn,bonus,4
幽默,幽默,you1mo4,yōumò,humorous,4
孙子,孫子,sun1zi5,sūnzi,grandson; son's son,4
汗,汗,"han4, han2","hàn, hán",sweat; perspiration; Khan,4
收入,收入,shou1ru4,shōurù,take in; income; revenue,4
酸,酸,suan1,suān,sour; sore; ache,4
公里,公裡,gong1li3,gōnglǐ,kilometer,4
害羞,害羞,hai4 xiu1,hài xiū,blush; shy,4
基础,基礎,ji1chu3,jīchǔ,base; foundation,4
准时,准時,zhun3shi2,zhǔnshí,punctually; on time,4
积极,積極,ji1ji2,jījí,active; positive; energetic,4
富,富,fu4,fù,wealthy,4
力气,力氣,li4qi5,lìqi,physical strength; effort,4
入口,入口,ru4kou3,rùkǒu,entrance,4
袜子,襪子,wa4zi5,wàzi,socks; stockings,4
烦恼,煩惱,fan2nao3,fánnǎo,worried; vexed,4
举办,舉辦,ju3ban4,jǔbàn,to conduct; to hold,4
修理,修理,xiu1li3,xiūlǐ,to repair; perform maintenance; to overhaul,4
减少,減少,jian3shao3,jiǎnshǎo,reduce; to decrease,4
亲戚,親戚,qin1qi5,qīnqi,a relative (i.e. family relation),4
参观,參觀,can1guan1,cānguān,"to visit (a place, such as a tourist spot); inspect",4
丰富,豐富,feng1fu4,fēngfù,rich; enrich; abundant; plentiful,4
果汁,果汁,guo3zhi1,guǒzhī,fruit juice,4
毛巾,毛巾,mao2jin1,máojīn,towel; washcloth,4
作者,作者,zuo4zhe3,zuòzhě,author; writer,4
海洋,海洋,hai3yang2,hǎiyáng,ocean,4
批评,批評,pi1ping2,pīpíng,criticize,4
排队,排隊,pai2 dui4,pái duì,queue; stand in line,4
例如,例如,li4ru2,lìrú,for example; for instance,4
植物,植物,zhi2wu4,zhíwù,plant; botanical; vegetation,4
穷,窮,qiong2,qióng,poor; exhausted,4
家具,家具,jia1ju4,jiājù,furniture,4
盐,鹽,yan2,yán,salt,4
温度,溫度,wen1du4,wēndù,temperature,4
数量,數量,shu4liang4,shùliàng,amount; quantity; number,4
逛,逛,guang4,guàng,to stroll; to visit; go window shopping,4
厚,厚,hou4,hòu,thick (for flat things); generous,4
亚洲,亞洲,Ya4zhou1,Yàzhōu,Asia,4
来不及,來不及,lai2 bu5 ji2,lái bu jí,there's not enough time (to do something); it's too late,4
师傅,師傅,shi1fu5,shīfu,master; qualified worker; teacher,4
污染,污染,wu1ran3,wūrǎn,pollution; contamination,4
来得及,來得及,lai2 de5 ji2,lái de jí,there's still time,4
减肥,減肥,jian3fei2,jiǎnféi,go on a diet; lose weight,4
客厅,客廳,ke4ting1,kètīng,living room; parlor,4
缺少,缺少,que1shao3,quēshǎo,to lack; be short of; be deficient in,4
老虎,老虎,lao3hu3,lǎohǔ,tiger,4
降低,降低,jiang4di1,jiàngdī,reduce; to lower; to drop,4
云,雲,yun2,yún,cloud; Yunnan province | say; speak,4
质量,質量,zhi4liang4,zhìliàng,quality; mass (physics),4
学期,學期,xue2qi1,xuéqī,semester; school term,4
卫生间,衛生間,wei4sheng1jian1,wèishēngjiān,restroom; bathroom; water closet (WC),4
网球,網球,wang3qiu2,wǎngqiú,tennis; tennis ball,4
其次,其次,qi2ci4,qícì,next; secondly,4
打招呼,打招呼,da3zhao1hu5,dǎzhāohu,notify; greet; inform,4
表格,表格,biao3ge2,biǎogé,form (document),4
阅读,閱讀,yue4du2,yuèdú,read; reading,4
信封,信封,xin4feng1,xìnfēng,envelope,4
顺序,順序,shun4xu4,shùnxù,sequence; order,4
放暑假,放暑假,fang4 shu3jia4,fàng shǔjià,have summer vacation,4
乘坐,乘坐,cheng2zuo4,chéngzuò,ride; get into (a vehicle),4
重视,重視,zhong4shi4,zhòngshì,to value; take seriously,4
推迟,推遲,tui1chi2,tuīchí,postpone; defer,4
缺点,缺點,que1dian3,quēdiǎn,weak point; defect; fault; shortcoming,4
加油站,加油站,jia1you2zhan4,jiāyóuzhàn,gas station,4
首都,首都,shou3du1,shǒudū,capital (city),4
羡慕,羨慕,xian4mu4,xiànmù,to envy; admire,4
零钱,零錢,ling2qian2,língqián,small change (of money),4
暖和,暖和,nuan3huo5,nuǎnhuo,warm; nice and warm,4
懒,懶,lan3,lǎn,lazy,4
出差,出差,chu1 chai1,chū chāi,go on a business trip,4
民族,民族,min2zu2,mínzú,nationality; ethnic group,4
传真,傳真,chuan2zhen1,chuánzhēn,fax; facsimile,4
优点,優點,you1dian3,yōudiǎn,merit; good point; a strength; a benefit,4
垃圾桶,垃圾桶,la1ji1tong3,lājītǒng,garbage can,4
加班,加班,jia1 ban1,jiā bān,work overtime,4
房东,房東,fang2dong1,fángdōng,landlord,4
按时,按時,an4shi2,ànshí,on time; on schedule,4
葡萄,葡萄,pu2tao5,pútao,grape,4
往往,往往,wang3wang3,wǎngwǎng,often; frequently; more often than not,4
高速公路,高速公路,gao1su4 gong1lu4,gāosù gōnglù,highway,4
得意,得意,de2yi4,déyì,proud of oneself; complacent,4
特点,特點,te4dian3,tèdiǎn,a characteristic; trait; feature,4
合格,合格,he2ge2,hégé,qualified; up to standard,4
性别,性別,xing4bie2,xìngbié,gender; sex; sexual distinction,4
报名,報名,bao4 ming2,bào míng,sign up; apply,4
互联网,互聯網,Hu4lian2wang3,Hùliánwǎng,Internet,4
景色,景色,jing3se4,jǐngsè,scenery; landscape; scene; view,4
大使馆,大使館,da4shi3guan3,dàshǐguǎn,embassy,4
总结,總結,zong3jie2,zǒngjié,summarize; conclude,4
热闹,熱鬧,re4nao5,rènao,bustling; lively; busy,4
郊区,郊區,jiao1qu1,jiāoqū,suburbs; outskirts,4
咳嗽,咳嗽,ke2sou5,késou,to cough,4
签证,簽証,qian1zheng4,qiānzhèng,visa,4
咸,咸,xian2,xián,salty; salted; all,4
打印,打印,da3yin4,dǎyìn,to print,4
活泼,活潑,huo2po5,huópo,lively; vivacious,4
邮局,郵局,you2ju2,yóujú,post office,4
牙膏,牙膏,ya2gao1,yágāo,toothpaste,4
气候,氣候,qi4hou4,qìhòu,climate; atmosphere; weather,4
勺子,勺子,shao2zi5,sháozi,spoon; scoop; ladle,4
付款,付款,fu4 kuan3,fù kuǎn,to pay,4
理发,理發,li3fa4,lǐfà,"a barber, hairdressing; haircut",4
复印,復印,fu4yin4,fùyìn,photocopy; duplicate,4
词语,詞語,ci2yu3,cíyǔ,words and expressions; terms,4
表扬,表揚,biao3yang2,biǎoyáng,to praise; commend,4
打针,打針,da3zhen1,dǎzhēn,inject; get a shot,4
普遍,普遍,pu3bian4,pǔbiàn,common; universal; general; widespread,4
堵车,堵車,du3che1,dǔchē,traffic jam,4
叶子,葉子,ye4zi5,yèzi,leaves,4
打折,打折,da3zhe2,dǎzhé,sell at a discount,4
排列,排列,pai2lie4,páiliè,arrange; align; permutation,4
凉快,涼快,liang2kuai5,liángkuai,nice and cool; pleasantly cool,4
塑料袋,塑料袋,su4liao4dai4,sùliàodài,plastic bag,4
导游,導游,dao3you2,dǎoyóu,tour guide,4
小吃,小吃,xiao3chi1,xiǎochī,snack; refreshments,4
西红柿,西紅柿,xi1hong2shi4,xīhóngshì,tomato,4
招聘,招聘,zhao1pin4,zhāopìn,recruitment; take job applications for a job,4
节约,節約,jie2yue1,jiéyuē,frugal; to save,4
硕士,碩士,shuo4shi4,shuòshì,Master's degree (M.A.),4
乒乓球,乒乓球,ping1pang1qiu2,pīngpāngqiú,ping pong; table tennis,4
积累,積累,ji1lei3,jīlěi,accumulate; accumulation,4
橡皮,橡皮,xiang4pi2,xiàngpí,rubber; an eraser,4
应聘,應聘,ying4pin4,yìngpìn,accept a job offer; to apply for a job,4
矿泉水,礦泉水,kuang4quan2shui3,kuàngquánshuǐ,mineral water,4
长城,長城,chang2cheng2,chángchéng,the Great Wall,4
语法,語法,yu3fa3,yǔfǎ,grammar,4
礼拜天,禮拜天,li3bai4tian1,lǐbàitiān,Sunday,4
饺子,餃子,jiao3zi5,jiǎozi,dumpling; potsticker,4
国籍,國籍,guo2ji2,guójí,nationality,4
售货员,售貨員,shou4huo4yuan2,shòuhuòyuán,salesclerk; shop assistant,4
翻译,翻譯,fan1yi4,fānyì,translate; translation; interpret,4
流利,流利,liu2li4,liúlì,fluent,4
粗心,粗心,cu1xin1,cūxīn,careless; inadvertent; negligent,4
养成,養成,yang3cheng2,yǎngchéng,cultivate; acquire; to form,4
马虎,馬虎,ma3hu5,mǎhu,careless; sloppy; casual,4
百分之,百分之,bai3fen1zhi1,bǎifēnzhī,percent,4
普通话,普通話,pu3tong1hua4,pǔtōnghuà,Mandarin (common language),4
登机牌,登機牌,deng1ji1pai2,dēngjīpái,boarding pass,4
占线,佔線,zhan4xian4,zhànxiàn,the (phone) line is busy,4
包子,包子,bao1zi5,bāozi,steamed stuffed bun,4
羽毛球,羽毛球,yu3mao2qiu2,yǔmáoqiú,badminton,4
烤鸭,烤鴨,kao3ya1,kǎoyā,roast duck,4
寒假,寒假,han2jia4,hánjià,winter vacation,4
长江,長江,Chang2jiang1,Chángjiāng,the Yangtze River; the Changjiang River,4
预习,預習,yu4xi2,yùxí,(of students) prepare a lesson before class; preview,4
填空,填空,tian2kong4,tiánkòng,fill in the blanks; fill a vacancy,4
京剧,京劇,jing1ju4,jīngjù,Beijing Opera,4
嗯,嗯,"en1, en2, en3, en4, en5","ēn, én, ěn, èn, en","groaning sound | (interjection expressing what?, huh? hmm? why? ok, etc.)",5
杀,殺,sha1,shā,to kill; to murder,5
所,所,suo3,suǒ,"place; that which; (mw for houses, buildings)",5
正,正,"zheng4, zheng1","zhèng, zhēng",straight; currently; correct; just (right); pure; precisely | first lunar month,5
搞,搞,gao3,gǎo,do; make; be engaged in,5
亲爱,親愛,qin1'ai4,qīn'ài,"beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)",5
宝贝,寶貝,bao3bei4,bǎobèi,treasure; precious things; darling; baby,5
枪,槍,qiang1,qiāng,gun; spear,5
如何,如何,ru2he2,rúhé,how; what; what way,5
女士,女士,nv3shi4,nǚshì,lady; madam,5
根,根,gen1,gēn,"root; base; (mw for long, slender objects)",5
根本,根本,gen1ben3,gēnběn,root; essence; fundamental; basic; (not) at all; simply,5
确定,確定,que4ding4,quèdìng,definite; certain; fixed; determine,5
兄弟,兄弟,xiong1di4,xiōngdì,brothers; younger brother; brethren,5
抓,抓,zhua1,zhuā,to carry in your hand holding strongly; catch; arrest,5
或许,或許,huo4xu3,huòxǔ,perhaps; maybe,5
救,救,jiu4,jiù,to save (life); to assist; to rescue,5
唯一,唯一,wei2yi1,wéiyī,only; sole,5
表现,表現,biao3xian4,biǎoxiàn,to show; to show off; display; performance,5
拍,拍,pai1,pāi,"to clap; to pat; to shoot (pictures, a film); send (a telegram)",5
呆,呆,dai1,dāi,stupid; foolish; blank; dumbstruck; to stay,5
绝对,絕對,jue2dui4,juéduì,absolute; definite,5
整个,整個,zheng3ge4,zhěnggè,whole; entire; total,5
处理,處理,chu3li3,chǔlǐ,deal with; to process; sell at a discount; to treat (by a special process),5
行动,行動,xing2dong4,xíngdòng,to move; get around; action,5
失去,失去,shi1qu4,shīqù,"to lose (time, an opportunity, work, etc.)",5
派,派,pai4,pài,dispatch; (mw for political groups; schools of thought; etc.),5
靠,靠,kao4,kào,depend on; lean on; near; to trust,5
作为,作為,zuo4wei2,zuòwéi,regard as; act as; action; deed,5
曾经,曾經,ceng2jing1,céngjīng,once; (refers to something that happened previously),5
总统,總統,zong3tong3,zǒngtǒng,president (of a country),5
伤害,傷害,shang1hai4,shānghài,injure; to harm; wound,5
控制,控制,kong4zhi4,kòngzhì,to control,5
首,首,shou3,shǒu,head; chief; first; (mw for poems and songs) (Kangxi radical 185),5
偷,偷,tou1,tōu,steal; pilfer,5
哈,哈,ha1,hā,exhale; sip; (sound of laughter),5
糟糕,糟糕,zao1gao1,zāogāo,terrible; too bad; how terrible; what bad luck; what a mess,5
保持,保持,bao3chi2,bǎochí,to keep; maintain; to hold,5
证据,証據,zheng4ju4,zhèngjù,evidence; proof; testimony,5
事实,事實,shi4shi2,shìshí,fact; in fact,5
家庭,家庭,jia1ting2,jiātíng,family; household,5
装,裝,zhuang1,zhuāng,to load; dress up; pretend; clothing; to install,5
秘密,秘密,mi4mi4,mìmì,a secret; confidential,5
直,直,zhi2,zhí,straight; vertical; frank; directly; continuously,5
简直,簡直,jian3zhi2,jiǎnzhí,simply; at all,5
的确,的確,di2que4,díquè,really; indeed,5
血,血,"xue4, xie3","xuè, xiě",blood (Kangxi radical 143),5
方,方,fang1,fāng,square; direction; side (Kangxi radical 70),5
方式,方式,fang1shi4,fāngshì,way; style; fashion; manner,5
瞧,瞧,qiao2,qiáo,look at; see (colloquial),5
疯狂,瘋狂,feng1kuang2,fēngkuáng,crazy; madness; wild; extreme popularity; insane; frenzied; unbridled,5
片,片,"pian4, pian1","piàn, piān",(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,5
记录,記錄,ji4lu4,jìlù,to record; take notes,5
太太,太太,tai4tai5,tàitai,wife; married woman; Madame; Mrs.,5
非,非,fei1,fēi,non-; un-; not be; wrongdoing; simply must (Kangxi radical 175),5
除非,除非,chu2fei1,chúfēi,only if; unless,5
傻,傻,sha3,shǎ,foolish; fool,5
阻止,阻止,zu3zhi3,zǔzhǐ,prevent; to block,5
想象,想象,xiang3xiang4,xiǎngxiàng,imagine; visualize,5
完美,完美,wan2mei3,wánměi,perfect,5
克,克,ke4,kè,gram; overcome; restrain,5
目标,目標,mu4biao1,mùbiāo,target; goal; objective,5
精神,精神,jing1shen5,jīngshen,vigor; spirit; mind,5
碰,碰,peng4,pèng,to touch; to bump; to encounter,5
系,系,"xi4, ji4","xì, jì",be; relate to; system; fasten; department; faculty; connect | to tie,5
系统,系統,xi4tong3,xìtǒng,system,5
滚,滾,gun3,gǔn,to roll; get lost; to boil,5
报告,報告,bao4gao4,bàogào,to report; make known; inform; speech; lecture,5
人类,人類,ren2lei4,rénlèi,humanity; human race; mankind,5
冲,沖,"chong1, chong4","chōng, chòng",to rush; to clash; to rinse; thoroughfare | vigorously; bluntly; pungent; toward,5
自由,自由,zi4you2,zìyóu,freedom; free; liberty,5
套,套,tao4,tào,cover; (mw for sets of things); tie together,5
姑娘,姑娘,gu1niang5,gūniang,young woman; girl,5
手术,手術,shou3shu4,shǒushù,surgery; operation,5
必要,必要,bi4yao4,bìyào,necessary; essential; indispensable,5
痛苦,痛苦,tong4ku3,tòngkǔ,pain; suffering; agony,5
存在,存在,cun2zai4,cúnzài,to exist; to be,5
组,組,zu3,zǔ,compose; team up; group,5
以及,以及,yi3ji2,yǐjí,as well as; too; (formal) and,5
个人,個人,ge4ren2,gèrén,individual; personal; oneself,5
代表,代表,dai4biao3,dàibiǎo,represent; to delegate,5
意义,意義,yi4yi4,yìyì,meaning; significance,5
承认,承認,cheng2ren4,chéngrèn,to admit; concede; acknowledge,5
理由,理由,li3you2,lǐyóu,a reason; grounds; argument,5
显然,顯然,xian3ran2,xiǎnrán,clear; evidently; obviously,5
政府,政府,zheng4fu3,zhèngfǔ,government,5
幸运,幸運,xing4yun4,xìngyùn,luck; fortune,5
信任,信任,xin4ren4,xìnrèn,to trust; have confidence in,5
未来,未來,wei4lai2,wèilái,future,5
吓,嚇,"xia4, he4","xià, hè",frighten; to scare; intimidate,5
治疗,治療,zhi4liao2,zhìliáo,to treat; to cure; medical treatment,5
行为,行為,xing2wei2,xíngwéi,action; behavior; conduct,5
婚礼,婚禮,hun1li3,hūnlǐ,wedding ceremony,5
组织,組織,zu3zhi1,zǔzhī,organize; organization,5
老板,老板,lao3ban3,lǎobǎn,boss; proprietor; shopkeeper,5
合作,合作,he2zuo4,hézuò,cooperate; collaborate; work together,5
支,支,zhi1,zhī,branch; support; put up; (mw for long; narrow objects) (Kangxi radical 65),5
老婆,老婆,lao3po2,lǎopó,(informal) wife,5
可怕,可怕,ke3pa4,kěpà,terrible; awful; frightful; scary,5
中心,中心,zhong1xin1,zhōngxīn,center; heart; core,5
明显,明顯,ming2xian3,míngxiǎn,clear; obvious,5
消失,消失,xiao1shi1,xiāoshī,disappear; fade away; dissolve,5
位置,位置,wei4zhi5,wèizhi,position; place; seat,5
答应,答應,da1ying5,dāying,to respond; to promise; to answer; agree,5
撞,撞,zhuang4,zhuàng,to hit; collide; run into,5
似乎,似乎,si4hu1,sìhū,it seems; as if; seemingly,5
力量,力量,li4liang5,lìliang,power; force; strength,5
命令,命令,ming4ling4,mìnglìng,an order; a command,5
威胁,威脅,wei1xie2,wēixié,threaten; to menace,5
日子,日子,ri4zi5,rìzi,days; date; time; life,5
享受,享受,xiang3shou4,xiǎngshòu,enjoy,5
战争,戰爭,zhan4zheng1,zhànzhēng,war; conflict,5
恭喜,恭喜,gong1xi3,gōngxǐ,congratulate,5
利用,利用,li4yong4,lìyòng,to use; to make use of; to exploit,5
恨,恨,hen4,hèn,to hate,5
训练,訓練,xun4lian4,xùnliàn,to train; to drill; to exercise; training,5
酒吧,酒吧,jiu3ba1,jiǔbā,bar,5
身份,身份,shen1fen4,shēnfèn,identity; status; dignity,5
模特,模特,mo2te4,mótè,(fashion) model,5
一旦,一旦,yi2dan4,yídàn,in case (something happens); once (sth. has happened ... then); in one day,5
追,追,zhui1,zhuī,pursue; chase,5
群,群,qun2,qún,"crowd; group; (mw for groups, flocks, or swarms)",5
面对,面對,mian4dui4,miànduì,to face; confront,5
居然,居然,ju1ran2,jūrán,unexpectedly; to one's surprise; go so far as to,5
雷,雷,lei2,léi,thunder,5
真实,真實,zhen1shi2,zhēnshí,true; real; authentic,5
人生,人生,ren2sheng1,rénshēng,human life,5
受伤,受傷,shou4 shang1,shòu shāng,"sustain injuries (in an accident, etc.); be injured",5
夜,夜,ye4,yè,night; darkness,5
属于,屬於,shu3yu2,shǔyú,belong to; be part of,5
出色,出色,chu1se4,chūsè,remarkable; outstanding; excellent,5
目前,目前,mu4qian2,mùqián,at present; now; for the moment,5
锁,鎖,suo3,suǒ,lock,5
梦想,夢想,meng4xiang3,mèngxiǎng,dream of; wishful thinking,5
人员,人員,ren2yuan2,rényuán,staff; crew; personnel,5
